ubicacion,owners,owner_count,articles,article_count,tipologia,width_mode,stock_pal_total,pasillo,columna,altura,denominacion_propietario,assigned_owner,owner_bucket,unit_resultante,eu_equivalente_factor
008-005-40,[24],1,['31031'],1,AM,AM,24.0,8.0,5.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-006-10,[3],1,['22009'],1,AM,AM,16.0,8.0,6.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-006-20,[3],1,['22009'],1,AM,AM,26.0,8.0,6.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-006-30,[24],1,['22011'],1,AM,AM,13.0,8.0,6.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-006-40,[24],1,['22014'],1,AM,AM,13.0,8.0,6.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-007-10,[24],1,['22140'],1,AM,AM,15.0,8.0,7.0,10.0,MCC MADRID,24,24,posicion_rack,1.5
008-007-20,[24],1,['22140'],1,AM,AM,15.0,8.0,7.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-007-30,[24],1,['31003'],1,AM,AM,24.0,8.0,7.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-007-40,[24],1,['22140'],1,AM,AM,19.0,8.0,7.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-008-00,[82],1,['202069'],1,suelo_250,00,24.0,8.0,8.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-008-10,[3],1,['22009'],1,AM,AM,26.0,8.0,8.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-008-20,[80],1,['22155'],1,AM,AM,4.0,8.0,8.0,20.0,ABI HORECA,80,80,posicion_rack,1.5
008-008-30,[24],1,['22011'],1,AM,AM,13.0,8.0,8.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-008-40,[24],1,['31004'],1,AM,AM,22.0,8.0,8.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-010-00,[82],1,['202069'],1,suelo_250,00,24.0,8.0,10.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-011-00,[24],1,['22009'],1,suelo_250,S,1.0,8.0,11.0,0.0,MCC MADRID,24,24,posicion_suelo,1.0
008-011-10,[24],1,['22014'],1,AM,AM,15.0,8.0,11.0,10.0,MCC MADRID,24,24,posicion_rack,1.5
008-011-20,[24],1,['31003'],1,AM,AM,24.0,8.0,11.0,20.0,MCC MADRID,24,24,posicion_rack,1.5
008-011-30,[24],1,['31003'],1,AM,AM,24.0,8.0,11.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-012-00,[82],1,['202069'],1,suelo_250,00,19.0,8.0,12.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-012-20,[3],1,['31134'],1,AM,AM,30.0,8.0,12.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-012-30,[24],1,['31003'],1,AM,AM,24.0,8.0,12.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-012-40,[6],1,['179014'],1,AM,AM,251.0,8.0,12.0,40.0,CRAFT,6,6,posicion_rack,1.5
008-013-00,[24],1,['209019'],1,suelo_250,S,2.0,8.0,13.0,0.0,MCC MADRID,24,24,posicion_suelo,1.0
008-013-10,[24],1,['22011'],1,AM,AM,13.0,8.0,13.0,10.0,MCC MADRID,24,24,posicion_rack,1.5
008-013-20,[3],1,['23081'],1,AM,AM,7.0,8.0,13.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-013-30,[24],1,['22140'],1,AM,AM,15.0,8.0,13.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-013-40,[24],1,['31033'],1,AM,AM,24.0,8.0,13.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-014-10,[3],1,['91228'],1,AM,AM,1.0,8.0,14.0,10.0,ALHAMBRA,3,3,posicion_rack,1.5
008-014-20,[3],1,['91224'],1,AM,AM,2.0,8.0,14.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-014-30,[24],1,['31003'],1,AM,AM,24.0,8.0,14.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-014-40,[24],1,['31047'],1,AM,AM,26.0,8.0,14.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-015-00,[24],1,['31118'],1,suelo_250,S,1.0,8.0,15.0,0.0,MCC MADRID,24,24,posicion_suelo,1.0
008-017-10,[24],1,['22007'],1,AM,AM,10.0,8.0,17.0,10.0,MCC MADRID,24,24,posicion_rack,1.5
008-017-30,[24],1,['22014'],1,AM,AM,13.0,8.0,17.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-017-40,[3],1,['205203'],1,AM,AM,8.0,8.0,17.0,40.0,ALHAMBRA,3,3,posicion_rack,1.5
008-018-10,[23],1,['31004'],1,AM,AM,17.0,8.0,18.0,10.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-018-20,[23],1,['31134'],1,AM,AM,28.0,8.0,18.0,20.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-018-30,[24],1,['31003'],1,AM,AM,24.0,8.0,18.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-018-40,[24],1,['31004'],1,AM,AM,20.0,8.0,18.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-019-10,[32],1,['91176'],1,AM,AM,2.0,8.0,19.0,10.0,MCC CENTRO - OESTE,32,32,posicion_rack,1.5
008-019-20,[3],1,['167018'],1,AM,AM,1.0,8.0,19.0,20.0,ALHAMBRA,3,3,posicion_rack,1.5
008-019-30,[24],1,['22011'],1,AM,AM,13.0,8.0,19.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-019-40,[24],1,['31003'],1,AM,AM,8.0,8.0,19.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
008-020-00,[82],1,['202069'],1,suelo_250,00,24.0,8.0,20.0,0.0,BRUTUS DESARROLLO COMERCIAL,82,82,posicion_suelo,1.0
008-020-10,[29],1,['36008'],1,AM,AM,10.0,8.0,20.0,10.0,MAHOU FUTBOL,29,29,posicion_rack,1.5
008-020-20,[23],1,['22009'],1,AM,AM,23.0,8.0,20.0,20.0,MAHOU-MARKETING OCIO,23,23,posicion_rack,1.5
008-020-30,[24],1,['31003'],1,AM,AM,24.0,8.0,20.0,30.0,MCC MADRID,24,24,posicion_rack,1.5
008-020-40,[24],1,['22015'],1,AM,AM,8.0,8.0,20.0,40.0,MCC MADRID,24,24,posicion_rack,1.5
