art,reserva,owner_base,uds,adr,qcnt,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte,estado_conversion,eu_equivalente,modulos_3eu,penaliza_altura_10,impacto_10
74006,32,32,6,AK01803,6,C,12.0,balda_9h,subhueco_balda,0.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.05555555555555555,0.018518518518518517,False,0.0
53015,32,32,3,AV11503,1,B,1.5,EU,posicion_rack,2.0,match_articulo; owner=prefijo_RESERVA,soportado,2.0,0.6666666666666666,False,0.0
69004,33,33,5,BB07302,5,C,12.0,balda_9h,subhueco_balda,0.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.046296296296296294,0.0154320987654321,False,0.0
174030,4,4,1,AL105,1,C,2.0,TR,posicion_rack,0.5,dimensión larga compatible con TR; owner=prefijo_RESERVA,inferido,1.5,0.5,False,0.0
*MULTI*,,sin_asignacion_segura,1,BC08302,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
18076,29,29,20,AK06906,1,C,12.0,balda_9h,subhueco_balda,1.6666666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.18518518518518517,0.0617283950617284,False,0.0
98613,61,61,10,AO13903,10,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA,revision_manual,,,False,0.0
*MULTI*,,sin_asignacion_segura,1,AZ11801,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match,revision_manual,,,False,0.0
15178,61,61,112,AH01003,1,C,2.0,suelo_126,posicion_suelo,56.0,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,56.0,18.666666666666668,False,0.0
23008,32,32,3,AK09601,1,C,2.0,suelo_126,posicion_suelo,1.5,dimensión <= 126 cm; owner=prefijo_RESERVA,inferido,1.5,0.5,False,0.0
186020,33,33,102,BA04603,102,C,12.0,balda_9h,subhueco_balda,8.5,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA,inferido,0.9444444444444444,0.3148148148148148,False,0.0
