owner,article,transaction_frequency,total_quantity
14,051191,1,1.0
14,051263,1,1.0
14,051274,1,1.0
14,051275,1,1.0
14,054005,1,1.0
14,054055,1,1.0
14,054091,1,1.0
14,054092,1,1.0
14,084051,1,1.0
14,084449,1,1.0
14,086000,1,1.0
14,086105,1,1.0
14,089017,1,1.0
14,091013,1,1.0
14,091233,1,1.0
14,094064,1,1.0
14,102077,1,1.0
14,102078,1,1.0
14,102079,1,1.0
14,102081,1,1.0
14,102082,1,1.0
14,102084,1,1.0
14,102161,1,1.0
14,102162,1,1.0
14,103145,1,1.0
14,103152,1,1.0
14,104004,1,1.0
14,106030,1,1.0
14,106295,1,1.0
14,107070,1,1.0
14,107071,1,1.0
14,107073,1,1.0
14,109072,1,1.0
14,109073,1,1.0
14,109076,1,1.0
14,109077,1,1.0
14,113059,1,1.0
14,123059,1,1.0
14,123079,1,1.0
14,127014,1,1.0
14,133051,1,1.0
14,133086,1,1.0
14,141023,1,1.0
14,142014,1,1.0
14,142034,1,1.0
14,143006,1,1.0
14,143079,1,1.0
14,143099,1,1.0
14,144043,1,1.0
14,145003,1,1.0
14,145006,1,1.0
14,145008,1,1.0
14,145019,1,1.0
14,145020,1,1.0
14,146003,1,1.0
14,146036,1,1.0
14,152003,1,1.0
14,152033,1,1.0
14,152094,1,1.0
14,152095,1,1.0
14,152096,1,1.0
14,152097,1,1.0
14,152098,1,1.0
14,152102,1,1.0
14,152104,1,1.0
14,152105,1,1.0
14,152112,1,1.0
14,152115,1,1.0
14,152119,1,1.0
14,152122,1,1.0
14,152124,1,1.0
14,152146,1,1.0
14,154004,1,1.0
14,154005,1,1.0
14,154025,1,1.0
14,161127,1,1.0
14,161128,1,1.0
14,161129,1,1.0
14,163035,1,1.0
14,164011,1,1.0
14,165012,1,1.0
14,172147,1,1.0
14,173019,1,1.0
14,176011,1,1.0
14,181012,1,1.0
14,181189,1,1.0
14,181200,1,1.0
14,182004,1,1.0
14,183052,1,1.0
14,192032,1,1.0
14,205013,1,1.0
14,991108,1,1.0
16,015181,90,8013.87
16,125097,36,4431.0
16,072112,32,9643.985
16,019056,24,3168.0
16,019057,24,3168.0
16,109079,24,96.0
16,106333,23,2040.0
16,072084,22,6075.0
16,133181,20,1805.371
16,103265,18,479.0
16,127055,17,17.0
16,071127,15,925.0
16,019055,14,1525.272
16,133182,14,1255.0
16,086124,14,370.0
16,084094,13,84.0
16,103264,10,292.0
16,107113,10,130.0
16,019002,9,2646.0
16,102650,7,205.0
16,065068,6,180.0
16,107114,6,80.0
16,107112,6,30.0
16,103268,5,151.0
16,143143,5,8.0
16,107115,4,34.0
16,112026,4,21.0
16,186143,4,20.0
16,149049,3,70.0
16,131168,2,233.0
16,124262,2,48.0
16,102649,2,45.0
16,086177,2,38.0
16,112025,2,4.0
16,174124,2,4.0
16,086102,2,3.0
16,071043,1,935.0
16,186021,1,693.0
16,122052,1,525.0
16,122053,1,518.0
16,122054,1,470.0
16,089019,1,467.0
16,019074,1,48.0
16,184063,1,37.0
