owner,article,transaction_frequency,total_quantity
200,TPAZ159,1,900.0
200,TPAZ161,1,900.0
200,TPAZ162,1,900.0
200,TPAZ163,1,900.0
200,TPAZ164,1,900.0
200,TPAZ165,1,900.0
200,TPAZ166,1,900.0
200,TPAZ167,1,900.0
200,TPAZ168,1,900.0
200,TPAZ169,1,900.0
200,TPAZ170,1,900.0
200,TPAZ171,1,900.0
200,TPAZ172,1,900.0
200,TPAZ173,1,900.0
200,TPAZ174,1,900.0
200,TPAZ175,1,900.0
200,TPAZ176,1,900.0
200,TPAZ177,1,900.0
200,TPAZ178,1,900.0
200,TPAZ179,1,900.0
200,TPAZ180,1,900.0
200,TPAZ181,1,900.0
200,TPAZ183,1,880.0
200,PAZP373,1,864.0
200,PAZP374,1,864.0
200,LPAZ135,1,800.0
200,TPA1092,1,800.0
200,TPA1093,1,800.0
200,TPA1094,1,800.0
200,TPA1095,1,800.0
200,TPA1096,1,800.0
200,TPA1097,1,800.0
200,TPA1098,1,800.0
200,TPA1099,1,800.0
200,TPA1100,1,800.0
200,TPA1101,1,800.0
200,TPA1102,1,800.0
200,TPA1103,1,800.0
200,TPA1104,1,800.0
200,TPA1105,1,800.0
200,TPA1106,1,800.0
200,TPA1107,1,800.0
200,TPA1108,1,800.0
200,TPA1110,1,800.0
200,TPA1111,1,800.0
200,TPA1112,1,800.0
200,TPA1113,1,800.0
200,TPA1114,1,800.0
200,TPA1115,1,800.0
200,TPA1116,1,800.0
200,TPA1117,1,800.0
200,TPA1118,1,800.0
200,TPA1119,1,800.0
200,TPA1120,1,800.0
200,TPA1121,1,800.0
200,TPA1122,1,800.0
200,TPAZ182,1,800.0
200,TPA1169,1,785.0
200,TPA1170,1,775.0
200,LPAZ311,1,769.0
200,LPAZ162,1,750.0
200,LPAZ380,1,750.0
200,LPAZ375,1,720.0
200,TPAZ585,1,720.0
200,TPAZ586,1,720.0
200,TPAZ589,1,720.0
200,TPAZ590,1,720.0
200,TPAZ591,1,720.0
200,TPAZ592,1,720.0
200,TPAZ593,1,720.0
200,TPAZ594,1,720.0
200,TPAZ595,1,720.0
200,TPAZ596,1,720.0
200,TPAZ598,1,720.0
200,TPAZ600,1,720.0
200,TPAZ601,1,720.0
200,TPAZ602,1,720.0
200,TPAZ603,1,720.0
200,TPAZ604,1,720.0
200,TPAZ605,1,720.0
200,TPAZ606,1,720.0
200,TPAZ607,1,720.0
200,TPAZ608,1,720.0
200,TPAZ609,1,720.0
200,TPAZ610,1,720.0
200,TPAZ611,1,720.0
200,TPAZ612,1,720.0
200,TPAZ613,1,720.0
200,TPAZ614,1,720.0
200,TPAZ615,1,720.0
200,TPAZ616,1,720.0
200,TPAZ617,1,720.0
