antecedent,consequent,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,npmi,shared_transactions
203016,203014,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
103147,103146,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
113047,113051,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
113047,113053,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
113047,113054,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
107079,107078,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
046020,206087,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
074003,071000,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
074003,127004,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
102692,102693,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
103314,102693,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
107134,107148,0.00023467567821271003,0.00023467567821271003,0.00032854594949779405,1.0,3043.714285714286,0.0002345985764691876,inf,0.959739151227881,5
1848BR,9990P,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
1848BR,EH18NC,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
63UP,9990P,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
63UP,EH18NC,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
71168,71167,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
113051,113049,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
113053,113049,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
113054,113049,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
144011,144010,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
092030,099006,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
107078,103989,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
071000,063002,0.000281610813855252,0.00032854594949779405,0.000281610813855252,0.8571428571428571,3043.714285714286,0.0002815182917630251,6.998028724303011,0.981143612051366,6
