granularity,period,transactions,avg_basket_size,series_type,article_a,article_b,period_label,period_transaction_count,shared_transactions,joint_support,lift,balanced_confidence,jaccard_similarity,cosine_similarity
,,,,pair_affinity,011014,011030,full_history,21120.0,98.0,0.0046401515151515155,3.0247488217456437,0.07010014306151645,0.0363232023721275,0.11847064120775158
,,,,pair_affinity,022009,031006,full_history,21120.0,93.0,0.004403409090909091,91.6033952056711,0.6348122866894198,0.465,0.6351119769039082
,,,,pair_affinity,022043,031045,full_history,21120.0,92.0,0.004356060606060606,93.1690242148166,0.5897435897435898,0.41818181818181815,0.6370635102462464
,,,,pair_affinity,011030,014012,full_history,21120.0,91.0,0.004308712121212121,8.701786158965886,0.16758747697974216,0.0914572864321608,0.19363236170468037
,,,,pair_affinity,011104,014012,full_history,21120.0,91.0,0.004308712121212121,5.6281242221473855,0.14748784440842788,0.07961504811898512,0.15572400924601829
,,,,pair_affinity,065072,204082,full_history,21120.0,89.0,0.004214015151515152,20.375934959349596,0.2326797385620915,0.13165680473372782,0.2930264470060449
,,,,pair_affinity,022199,204082,full_history,21120.0,87.0,0.0041193181818181815,70.4,0.537037037037037,0.3670886075949367,0.5385164807134504
,,,,pair_affinity,022199,084099,full_history,21120.0,87.0,0.0041193181818181815,38.26086956521739,0.38666666666666666,0.2396694214876033,0.39699961669021033
,,,,pair_affinity,022199,202068,full_history,21120.0,86.0,0.004071969696969697,77.32311621966795,0.5566343042071197,0.38565022421524664,0.5611215430918277
,,,,pair_affinity,065072,202068,full_history,21120.0,86.0,0.004071969696969697,21.876784101174348,0.22933333333333333,0.12951807228915663,0.29846541160933604
,,,,pair_affinity,014012,018000,full_history,21120.0,86.0,0.004071969696969697,2.411919368974584,0.09890741805635422,0.05202661826981246,0.09910228343483705
,,,,pair_affinity,011105,014012,full_history,21120.0,85.0,0.004024621212121212,7.701746106654082,0.15440508628519528,0.08366141732283465,0.17605854353371203
,,,,pair_affinity,011110,014012,full_history,21120.0,85.0,0.004024621212121212,5.619131088018029,0.14084507042253522,0.07575757575757576,0.1503824264019141
,,,,pair_affinity,011026,011030,full_history,21120.0,83.0,0.003929924242424243,15.042993220629882,0.2368045649072753,0.1343042071197411,0.2431415713866654
,,,,pair_affinity,087002,087004,full_history,21120.0,81.0,0.0038352272727272727,69.09487459105779,0.50625,0.3389121338912134,0.5147762110250391
,,,,pair_affinity,126105,204082,full_history,21120.0,79.0,0.003740530303030303,22.840246406570838,0.24803767660910517,0.14157706093189965,0.2922920351505618
