ART,RESERVA,owner_base,UDS,ADR,QCNT,capa_conversion,factor_conversion_usado,tipologia_estimacion,unidad_resultante,posiciones_estimadas,soporte
154083,64,64,4,TJ07701,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
143084,71,71,17,BB09205,17,C,2.0,suelo_126,posicion_suelo,8.5,dimensión <= 126 cm; owner=prefijo_RESERVA
124249,33,33,252,BC02003,1,C,2.0,suelo_126,posicion_suelo,126.0,dimensión <= 126 cm; owner=prefijo_RESERVA
107076,33,33,3,BB07302,3,C,12.0,balda_9h,subhueco_balda,0.25,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,TJ10502,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
61009,61,61,18,AK01105,18,B,50.0,EU,posicion_rack,0.36,match_articulo; owner=prefijo_RESERVA
161035,61,61,1,AV03504,1,B,1.0,EU,posicion_rack,1.0,match_articulo; owner=prefijo_RESERVA
184224,71,71,1,BB09205,1,C,2.0,suelo_126,posicion_suelo,0.5,dimensión <= 126 cm; owner=prefijo_RESERVA
145064,64,64,2,BA11402,2,C,12.0,balda_9h,subhueco_balda,0.16666666666666666,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
126061,61,61,75,AJ02201,75,B,1.0,balda_9h,subhueco_balda,75.0,match_articulo; owner=prefijo_RESERVA
74019,34,34,366,BB07704,1,A,270.0,EU,posicion_rack,1.3555555555555556,match_articulo_propietario; owner=prefijo_RESERVA
74036,60,60,192,BF14202,1,C,12.0,balda_9h,subhueco_balda,16.0,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
51094,32,32,1,BB06005,1,A,1.0,suelo_126,posicion_suelo,1.0,match_articulo_propietario; owner=prefijo_RESERVA
204000,32,32,14,BD09501,1,B,16.0,suelo_126,posicion_suelo,0.875,match_articulo; owner=prefijo_RESERVA
14014,29,29,240,AZ10905,1,A,276.0,EU,posicion_rack,0.8695652173913043,match_articulo_propietario; owner=prefijo_RESERVA
98013,14 VOLUNTARIA,14,1,BA02801,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,BA02801,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
14012,61,61,96,TJ02903,1,B,144.0,EU,posicion_rack,0.6666666666666666,match_articulo; owner=prefijo_RESERVA
42051,64,64,10,BA08705,10,A,11.0,EU,posicion_rack,0.9090909090909091,match_articulo_propietario; owner=prefijo_RESERVA
16024,61,61,13,AJ06501,1,B,8.0,EU,posicion_rack,1.625,match_articulo; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AW11702,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
98369,33,33,100,AV06607,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
98602,61,61,5,AO13604,5,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=prefijo_RESERVA
105103,29,29,17,AV13702,17,C,12.0,balda_9h,subhueco_balda,1.4166666666666667,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
148081,4,4,2,AL105,1,C,1.0,suelo_250,posicion_suelo,2.0,dimensión >= 190 cm o categoría exterior; owner=prefijo_RESERVA
148026,37,37,1,AL105,1,C,12.0,balda_9h,subhueco_balda,0.08333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
*MULTI*,,sin_asignacion_segura,1,AV13006,1,C,,revision_manual,revision_manual,,revision_manual_sin_dimensiones; owner=sin_match
32041,32,32,20,BB12903,1,C,2.0,suelo_126,posicion_suelo,10.0,dimensión <= 126 cm; owner=prefijo_RESERVA
102604,33,33,163,AV12902,1,C,12.0,balda_9h,subhueco_balda,13.583333333333334,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
121027,33,33,4,BA04603,4,C,12.0,balda_9h,subhueco_balda,0.3333333333333333,dimensión pequeña con bajo volumen; owner=prefijo_RESERVA
22101,64,64,2,AZ04503,1,C,2.0,suelo_126,posicion_suelo,1.0,dimensión <= 126 cm; owner=prefijo_RESERVA
61012,77,77,510,AK11404,1,B,78.0,EU,posicion_rack,6.538461538461538,match_articulo; owner=prefijo_RESERVA
