line_id,transaction_id,propietario,owner_name,location_actual,location_contrafactual,ahorro_metros_linea_proxy,unidad_analisis,escenario
2540,SG06202625701-01|95,95,INNOVACION,011-126-20,009-001-40,55.1467,linea,B_base_recomendado
2541,SG06202625701-01|95,95,INNOVACION,012-036-10,009-001-10,55.1467,linea,B_base_recomendado
2542,SG06202625701-01|95,95,INNOVACION,014-111-30,009-002-10,55.1467,linea,B_base_recomendado
2543,SG06202625701-01|95,95,INNOVACION,014-036-30,009-013-10,55.1467,linea,B_base_recomendado
2544,SG06202625701-01|95,95,INNOVACION,014-034-30,009-005-40,55.1467,linea,B_base_recomendado
2545,SG06202625701-01|95,95,INNOVACION,014-021-10,009-004-20,55.1467,linea,B_base_recomendado
2546,SG06202625701-01|95,95,INNOVACION,014-019-10,009-001-30,55.1467,linea,B_base_recomendado
2547,SG06202625701-01|95,95,INNOVACION,014-061-20,009-006-00,55.1467,linea,B_base_recomendado
2548,SG06202625701-01|95,95,INNOVACION,014-066-30,009-001-20,55.1467,linea,B_base_recomendado
2549,SG06202625701-01|95,95,INNOVACION,014-039-40,009-002-00,55.1467,linea,B_base_recomendado
2550,SG06202625701-01|95,95,INNOVACION,014-047-40,009-004-30,55.1467,linea,B_base_recomendado
2551,SG06202625701-01|95,95,INNOVACION,018-124-30,009-005-10,55.1467,linea,B_base_recomendado
2552,SG06202625701-01|95,95,INNOVACION,010-078-20,009-003-10,55.1467,linea,B_base_recomendado
2821,SG06202625702-01|95,95,INNOVACION,011-116-20,009-001-00,57.0909,linea,B_base_recomendado
2823,SG06202625702-01|95,95,INNOVACION,012-036-10,009-001-10,57.0909,linea,B_base_recomendado
2825,SG06202625702-01|95,95,INNOVACION,014-034-30,009-005-40,57.0909,linea,B_base_recomendado
2827,SG06202625702-01|95,95,INNOVACION,014-021-10,009-004-20,57.0909,linea,B_base_recomendado
2829,SG06202625702-01|95,95,INNOVACION,014-019-10,009-001-30,57.0909,linea,B_base_recomendado
2832,SG06202625702-01|95,95,INNOVACION,014-061-20,009-006-00,57.0909,linea,B_base_recomendado
2834,SG06202625702-01|95,95,INNOVACION,014-066-30,009-001-20,57.0909,linea,B_base_recomendado
2837,SG06202625702-01|95,95,INNOVACION,014-047-40,009-004-30,57.0909,linea,B_base_recomendado
2839,SG06202625702-01|95,95,INNOVACION,014-100-10,009-003-30,57.0909,linea,B_base_recomendado
2840,SG06202625702-01|95,95,INNOVACION,018-124-30,009-005-10,57.0909,linea,B_base_recomendado
2844,SG06202625702-01|95,95,INNOVACION,010-078-20,009-003-10,57.0909,linea,B_base_recomendado
2900,SG06202625703-01|95,95,INNOVACION,011-116-20,009-001-00,47.9333,linea,B_base_recomendado
2903,SG06202625703-01|95,95,INNOVACION,012-036-10,009-001-10,47.9333,linea,B_base_recomendado
2906,SG06202625703-01|95,95,INNOVACION,014-047-40,009-004-30,47.9333,linea,B_base_recomendado
2907,SG06202625703-01|95,95,INNOVACION,014-031-40,009-013-00,47.9333,linea,B_base_recomendado
2909,SG06202625703-01|95,95,INNOVACION,014-045-40,009-013-40,47.9333,linea,B_base_recomendado
2910,SG06202625703-01|95,95,INNOVACION,014-037-40,009-013-20,47.9333,linea,B_base_recomendado
2911,SG06202625703-01|95,95,INNOVACION,014-041-40,009-013-30,47.9333,linea,B_base_recomendado
2912,SG06202625703-01|95,95,INNOVACION,014-043-40,009-006-40,47.9333,linea,B_base_recomendado
2913,SG06202625703-01|95,95,INNOVACION,014-111-20,009-004-40,47.9333,linea,B_base_recomendado
2914,SG06202625703-01|95,95,INNOVACION,014-109-20,009-014-00,47.9333,linea,B_base_recomendado
2915,SG06202625703-01|95,95,INNOVACION,014-113-20,009-007-10,47.9333,linea,B_base_recomendado
2916,SG06202625703-01|95,95,INNOVACION,018-120-30,009-003-40,47.9333,linea,B_base_recomendado
2511,SG06202625704-01|77,77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,010-067-08,012-001-00,136.4,linea,B_base_recomendado
2846,SG06202625705-01|95,95,INNOVACION,015-067-20,009-003-00,219.6,linea,B_base_recomendado
2849,SG06202625706-01|95,95,INNOVACION,015-067-20,009-003-00,219.6,linea,B_base_recomendado
2926,SG06202625713-01|95,95,INNOVACION,011-116-20,009-001-00,79.9111,linea,B_base_recomendado
2929,SG06202625713-01|95,95,INNOVACION,011-126-20,009-001-40,79.9111,linea,B_base_recomendado
