propietario,owner_name,picks_2026,lineas_2026,horas_actuales,horas_contrafactuales,ahorro_horas,metros_actuales,metros_contrafactuales,ahorro_metros,pasillos_tocados_med_actual,pasillos_tocados_med_contrafactual,cambios_pasillo_med_actual,cambios_pasillo_med_contrafactual,reenganches_med_actual,reenganches_med_contrafactual,fragmentacion_proxy_med_actual,fragmentacion_proxy_med_contrafactual,busqueda_proxy_med_actual,busqueda_proxy_med_contrafactual,maniobra_proxy_med_actual,maniobra_proxy_med_contrafactual,transacciones_h_actual,transacciones_h_contrafactual,lineas_h_actual,lineas_h_contrafactual,uplift_productividad_pct,pasillos_actuales,num_pasillos_actuales,bloques_discontinuos_actuales,amplitud_pasillos_actual,dispersion_actual,pasillos_objetivo,num_pasillos_objetivo,bloques_discontinuos_objetivo,amplitud_pasillos_objetivo,escenario
61,MAHOU CORPORATIVO,9,29,2.195777777777778,0.8147826920106236,1.3809950857671542,3341.6,658.8,2682.8,1.6666666666666667,1.0,0.6666666666666666,0.0,0.0,0.0,1.4583333333333333,0.0,0.6666666666666666,0.0,2.7777777777777777,2.111111111111111,4.098775427588301,11.045890012453349,13.207165266673414,35.59231226234968,1.6949244250136184,"8,10,12,14,15,16,18,19",8,5,10,2.0882,10,1.0,1.0,0.0,A_conservador
98,MAHOU CANAL,6,12,1.319388888888889,0.23541812195781397,1.083970766931075,1548.0,160.8,1387.1999999999998,1.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,1.2,0.0,0.3333333333333333,0.0,1.3333333333333333,1.0,4.547559897258831,25.48656811167314,9.095119794517663,50.97313622334628,4.604449130408569,"6,7,8,10,11,13,14,18,19,20",10,4,13,3.7469,11,1.0,1.0,0.0,A_conservador
62,MAHOU JOVEN,34,78,6.947222222222222,5.949958998997209,0.997263223225013,10276.4,6586.4,3690.0,1.0294117647058822,1.0,0.058823529411764705,0.0,0.029411764705882353,0.0,0.9264705882352942,0.0,0.058823529411764705,0.0,1.3529411764705883,1.2941176470588236,4.894042383046782,5.714325091270423,11.22750899640144,13.1093340329145,0.16760841938458548,"8,9,10,11,12,13,14,15,16,19",10,2,10,2.186,10,1.0,1.0,0.0,A_conservador
12,ESPACIOS CERVECERAS,4,9,0.8783333333333333,0.16821815299338233,0.7101151803399509,1411.6,104.8,1306.8,2.0,1.0,1.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,2.25,1.25,4.5540796963946875,23.778646530243137,10.246679316888047,53.50195469304706,4.221394467265888,"6,7,8,10,11,12,13,14,19,20",10,3,13,1.9481,12,1.0,1.0,0.0,A_conservador
77,ASUNTOS CORPORATIVOS Y SOSTENIBILIDAD,4,24,1.1875,0.5180944527730333,0.6694055472269667,1006.4,297.6,708.8,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,5.0,5.0,3.3684210526315788,7.72059993808179,20.210526315789473,46.32359962849074,1.2920531066180314,"8,10,11,12,13,14,15,16,18,19",10,3,10,1.6995,12,1.0,1.0,0.0,A_conservador
64,CORONA,2,9,0.9885555555555556,0.40285365493190173,0.5857019006236538,422.8,380.8,42.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9286,0.0,0.0,0.0,3.5,3.5,2.023153872091716,4.9645819902964,9.104192424412723,22.340618956333802,1.453882553759282,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,2.4996,12,1.0,1.0,0.0,A_conservador
24,MCC MADRID,5,7,0.5944444444444444,0.06217314037896238,0.5322713040654821,1115.4,14.4,1101.0,1.4,1.0,0.4,0.0,0.0,0.0,1.30002,0.0,0.4,0.0,0.8,0.4,8.411214953271028,80.4205798440231,11.77570093457944,112.58881178163233,8.561113381456078,"6,7,8,9,10,11,12,13,14,15,16,18,19,20",14,2,13,3.0131,"11,12",2.0,1.0,1.0,A_conservador
90,HUB CONTENIDO & ACTIVACIÓN,18,30,1.6758333333333333,1.1800254348614247,0.4958078984719087,4407.2,1182.0,3225.2000000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,10.740924912978619,15.253908490636741,17.901541521631028,25.423180817727904,0.42016712845696724,"10,11,12,13,14,15,16,20",8,2,9,1.9904,10,1.0,1.0,0.0,A_conservador
79,NOMBRE,8,10,0.9691666666666667,0.497836634581292,0.4713300320853747,2525.0,547.2,1977.8,1.0,1.0,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.25,0.25,8.25451418744626,16.069528524610167,10.318142734307823,20.086910655762708,0.9467564243876694,"10,11,12,15,16,20",6,3,9,3.2136,11,1.0,1.0,0.0,A_conservador
14,FUNDACIÓN MAHOU SAN MIGUEL,2,5,0.5511111111111111,0.15738187580314925,0.39372923530796183,462.59999999999997,136.8,325.8,1.0,1.0,0.0,0.0,0.0,0.0,0.9231,0.0,0.0,0.0,1.5,1.5,3.629032258064516,12.707943591303794,9.07258064516129,31.76985897825948,2.5017444562703783,"6,7,8,9,10,11,12,13,14,15,18,19,20",13,2,13,3.766,12,1.0,1.0,0.0,A_conservador
